,dataset_name,method,theta,max,SSE,Total_time
0,Syn_n_50000_d_2_seed_4,asc,1.01,5,828920.9261315265,89.57030034065247
1,Syn_n_50000_d_2_seed_4,asc,1.01,10,828920.0474926343,90.41519665718079
2,Syn_n_50000_d_2_seed_4,asc,1.01,20,828920.0474926343,89.91531920433044
3,Syn_n_50000_d_2_seed_4,asc,1.01,50,828920.0474926343,92.69639587402344
4,Syn_n_50000_d_2_seed_4,asc,1.05,5,828925.7368752804,27.937231063842773
5,Syn_n_50000_d_2_seed_4,asc,1.05,10,828920.0474926347,31.74145770072937
6,Syn_n_50000_d_2_seed_4,asc,1.05,20,828920.0474926347,33.01948571205139
7,Syn_n_50000_d_2_seed_4,asc,1.05,50,828920.0474926347,34.88479661941528
8,Syn_n_50000_d_2_seed_4,asc,1.1,5,828935.4378397821,16.651199340820312
9,Syn_n_50000_d_2_seed_4,asc,1.1,10,828920.3392143592,19.084924936294556
10,Syn_n_50000_d_2_seed_4,asc,1.1,20,828920.3392143578,20.860206604003906
11,Syn_n_50000_d_2_seed_4,asc,1.1,50,828920.3392143578,23.103593826293945
12,Syn_n_50000_d_2_seed_4,asc,1.2,5,828935.4378397821,10.354986667633057
13,Syn_n_50000_d_2_seed_4,asc,1.2,10,828920.3392143592,12.330026388168335
14,Syn_n_50000_d_2_seed_4,asc,1.2,20,828920.3392143578,14.195514678955078
15,Syn_n_50000_d_2_seed_4,asc,1.2,50,828920.3392143578,16.706040382385254
16,Syn_n_50000_d_2_seed_4,asc,1.5,5,828935.4378397816,6.143221616744995
17,Syn_n_50000_d_2_seed_4,asc,1.5,10,828920.3392143592,7.5529444217681885
18,Syn_n_50000_d_2_seed_4,asc,1.5,20,828920.3392143578,8.97000789642334
19,Syn_n_50000_d_2_seed_4,asc,1.5,50,828920.3392143578,10.440634727478027
20,Syn_n_50000_d_2_seed_4,asc,2.0,5,828941.949606173,4.409296035766602
21,Syn_n_50000_d_2_seed_4,asc,2.0,10,828920.3392143592,6.197181224822998
22,Syn_n_50000_d_2_seed_4,asc,2.0,20,828920.3392143578,6.910787343978882
23,Syn_n_50000_d_2_seed_4,asc,2.0,50,828920.3392143578,7.881886720657349
24,Syn_n_50000_d_2_seed_4,asc,5.0,5,828982.6380106925,3.4178290367126465
25,Syn_n_50000_d_2_seed_4,asc,5.0,10,828938.1729936157,4.190789222717285
26,Syn_n_50000_d_2_seed_4,asc,5.0,20,828937.461975766,3.993319034576416
27,Syn_n_50000_d_2_seed_4,asc,5.0,50,828922.0209824037,4.284914016723633
28,Syn_n_50000_d_2_seed_4,asc,10.0,5,828951.9116010444,2.832688093185425
29,Syn_n_50000_d_2_seed_4,asc,10.0,10,828967.513606104,2.8740272521972656
30,Syn_n_50000_d_2_seed_4,asc,10.0,20,828975.8660805715,3.182488203048706
31,Syn_n_50000_d_2_seed_4,asc,10.0,50,828971.1044475323,3.4048943519592285
